year,mean_n_originals_per_performer,mean_originality
2015,1.0,0.9
2016,1.0,0.9
2017,1.0,0.875
2020,1.2916666666666667,0.9348958333333334
2021,1.3461538461538463,0.8653846153846154
2022,1.12,0.9133333333333334
2023,1.0357142857142858,0.8878968253968254
2024,1.1666666666666667,0.8499999999999999
2025,1.1538461538461537,0.8846153846153846
2026,1.0,0.9666666666666667
