node_a,node_b,weight
Francesca Michielin,Ghemon,1
Francesca Michielin,Bugo,1
Valerio Scanu,Giusy Ferreri,1
Valerio Scanu,Rose Villain,1
Valerio Scanu,Coma Cose,1
Valerio Scanu,Negramaro,1
Valerio Scanu,Ghemon,1
Valerio Scanu,Bugo,1
Giusy Ferreri,Rose Villain,1
Giusy Ferreri,Coma Cose,1
Giusy Ferreri,Negramaro,1
Giusy Ferreri,Ghemon,1
Giusy Ferreri,Bugo,1
Rose Villain,Coma Cose,1
Rose Villain,Negramaro,1
Rose Villain,Ghemon,1
Rose Villain,Bugo,1
Rose Villain,Rosa Chemical,1
Rose Villain,"[Fedez, Masini]",1
Coma Cose,Negramaro,1
Coma Cose,Ghemon,1
Coma Cose,Bugo,1
Coma Cose,Ricchi e Poveri,1
Negramaro,Ghemon,1
Negramaro,Bugo,1
Ghemon,Bugo,1
Ghemon,Samurai Jay,1
Ghemon,Shari,1
Tredici Pietro,Irene Fornaciari,1
Tredici Pietro,Gianni Morandi,1
Tredici Pietro,Brunori Sas,1
Tredici Pietro,Tosca,1
Tredici Pietro,Stadio,1
Tredici Pietro,Tommaso Paradiso,1
Tredici Pietro,Mahmood,1
Irene Fornaciari,Gianni Morandi,1
Gianni Morandi,Random,1
Lorenzo Fragola,Fabrizio Moro,1
Lorenzo Fragola,Fiorella Mannoia,1
Fabrizio Moro,Fiorella Mannoia,1
Rosa Chemical,"[Fedez, Masini]",1
Brunori Sas,Tosca,1
Brunori Sas,Stadio,1
Brunori Sas,Tommaso Paradiso,1
Brunori Sas,Mahmood,1
Tosca,Stadio,1
Tosca,Tommaso Paradiso,1
Tosca,Mahmood,1
Stadio,Tommaso Paradiso,1
Stadio,Mahmood,1
Tommaso Paradiso,Mahmood,1
Samurai Jay,Shari,1
Le Vibrazioni,Paola Turci,1
Le Vibrazioni,Anna Oxa,1
Paola Turci,Anna Oxa,1
Simone Cristicchi,Ariete,1
Rancore,Giorgia,1
Fasma,Lazza,1
Enrico Nigiotti,Willie Peyote,1
Willie Peyote,"[Noemi, Tony Effe]",1
La Rappresentante di Lista,La Sad,1
Lo Stato Sociale,Gianmaria,1
"[Mahmood, Blanco]",Joan Thiele,1
Will,Sal Da Vinci,1
"[Francesca Michielin, Fedez]",Colla Zio,1
Il Tre,Maninni,1
Il Tre,Eddie Brock,1
Maninni,Eddie Brock,1
Modà,Renga Nek,1
"[Maria Antonietta, Colombre]",Ana Mena,1
