year,n_covers,n_female_original,share_female_original
2015,21,6,0.2857142857142857
2016,20,5,0.25
2017,16,2,0.125
2020,34,10,0.29411764705882354
2021,44,6,0.13636363636363635
2022,34,9,0.2647058823529412
2023,47,7,0.14893617021276595
2024,55,5,0.09090909090909091
2025,41,5,0.12195121951219512
2026,34,9,0.2647058823529412
