artist_id,artist_name,gender,notes,source_row
68,Chiara,F,,70
67,Cesare Cremonini,M,,69
65,Caterina Caselli,F,,68
64,Casadilego,F,,67
63,Carmen Consoli,F,,66
62,Carla Bruni,F,,65
61,Canova,M,,64
60,Calibro 35,M,,63
59,Calcutta,M,,62
66,CCCP - Fedeli alla linea,Mixed,,61
58,C.S.I.,Mixed,,60
57,Bugo,M,,59
56,Brunori Sas,M,,58
55,Britney Spears,F,,57
54,Bresh,M,,56
75,Clementino,M,,77
,Cochi,M,,78
77,Colapesce Dimartino,M,,79
78,Colla Zio,M,,80
99,Dionne Warwick,F,,102
98,Diodato,M,,101
97,Dimartino,M,,100
96,Dik Dik,M,,99
95,Delia,F,,98
94,Deborah Iurato,F,,97
93,Dear Jack,M,,96
92,David Bowie,M,,95
91,Dargen D'Amico,M,,94
90,Dardust,M,,93
53,Boomdabash,M,,55
202,Irene Fornaciari,F,,202
87,Daniele Moretto,M,,90
86,Cugini di Campagna,M,,89
85,Cristina D'Avena,F,,88
84,Cristiano De André,M,,87
83,Cosmo,M,,86
81,Coro del Teatro Regio di Parma,Mixed,,85
82,Coro Voci Nere,Mixed,,84
80,Coma Cose,Mixed,,83
79,Colombre,M,,81
88,Daniele Silvestri,M,,91
52,Bobo Rondelli,M,,54
51,Bnkr44,M,,53
50,Bluvertigo,M,,52
23,Alicia Keys,F,,24
22,Alfa,M,,23
21,Alex Britti,M,,22
20,Alex Baroni,M,,21
19,Alessio Bernabei,M,,20
18,Alessandra Amoroso,F,,19
17,Aleandro Baldi,M,,18
16,Alberto Urso,M,,17
15,Alberto Radius,M,,16
14,Alberto Lupo,M,,15
24,Alunni del Sole,M,,25
13,Alan Sorrenti,M,,14
10,Aitana,F,,12
9,Aiello,M,,11
8,Afterhours,M,,10
7,Aeham Ahmad,M,,9
6,Adriano Celentano,M,,8
5,Adele,F,,7
4,Actarus,Mixed,,6
3,Achille Lauro,M,,5
11,AKA 7even,M,,4
2,A Great Big World feat. Christina Aguilera,Mixed,,3
12,Al Bano,M,,13
100,Ditonellapiaga,F,,103
25,Amara,F,,26
27,Ana Mena,F,,28
49,Blanco,M,,51
47,Biggio,M,,50
48,BigMama,F,,49
46,Bianca Atzei,F,,48
45,Biagio Antonacci,M,,47
44,Benji & Fede,M,,46
43,Belén Rodríguez,F,,45
42,Baustelle,Mixed,,44
41,Bambole di pezza,F,,43
26,Amedeo Minghi,M,,27
39,Articolo 31,M,,40
37,Ariete,F,,38
36,Aretha Franklin,F,,37
35,Antonello Venditti,M,,36
34,Annalisa,F,,35
33,Anna Tatangelo,F,,34
32,Anna Oxa,F,,33
31,Angelina Mango,F,,32
30,Andy dei Bluvertigo,M,,31
29,Andrea Bocelli,M,,30
28,Anastasio,M,,29
38,Arisa,F,,39
101,Dolcenera,F,,104
89,Danilo Rea,M,,92
103,Don Backy,M,,106
170,Gianna Nannini,F,,173
169,Gianmaria,M,,172
168,Gianluca Grignani,M,,171
167,Ghemon,M,,170
166,Ghali,M,,169
165,Geolier feat. Lazza,M,,168
164,Geolier,M,,167
163,Gene Pitney,M,,166
162,Gemelli DiVersi,M,,165
161,Gazzelle,M,,164
160,"Galeffi, Fudasca & Band",M,,163
159,Gaia - La Niña,F,,162
158,Gaia,F,,161
157,Gabriella Ferri,F,,160
156,Gabbani,M,,159
155,Fulminacci,M,,158
102,Domenico Modugno,M,,105
153,Frank Sinatra,M,,156
152,Franco Califano,M,,155
151,Franco Battiato,M,,154
150,Francesco Versace,M,,153
149,Francesco Renga,M,,152
148,Francesco Pannofino,M,,151
171,Gianni Morandi,M,,174
147,Francesco Nuti,M,,150
172,Gigi D'Agostino,M,,175
174,Gigliola Cinquetti,F,,177
200,Irama,M,,200
199,Iljard Shaba,M,,199
198,Il Volo,M,,198
197,Il Tre,M,,197
193,I musicisti,M,,196
191,I cantanti di The Voice Senior,Mixed,,195
192,I Cugini di Campagna,M,,194
190,Hu,F,,193
189,Highsnob,M,,192
188,Guè,M,,191
187,Gregory Porter,M,,190
186,Grazia Di Michele,F,,189
185,Goran Bregović,M,,188
184,Giusy Ferreri,F,,187
183,Giuni Russo,F,,186
182,Giovanni Truppi,M,,185
181,Giovanni Caccamo,M,,184
180,Giorgio Faletti,M,,183
179,Giorgia,F,,182
178,Giordana Angi,F,,181
