artist_id,artist_name
316,Paul McCartney
317,Peter Pichler
318,Pierangelo Bertoli
319,Piero Pelù
320,Pinguini Tattici Nucleari
321,Pino D'Angiò
322,Pino Daniele
323,Pooh
324,Poveri
325,Premiata Forneria Marconi
326,Pupo
327,Quartetto Cetra
328,Quartetto d'archi dell'Orchestra di Roma
329,Queen
330,Raf
331,Raffaella Carrà
332,Rancore
333,Random
334,Raoul Casadei
335,Raphael Gualazzi
336,Ratchopper
337,Ray Charles
338,Renato
339,Renato Carosone
340,Renato Zero
341,Renzo Rubino
342,Rettore
343,Riccardo Cocciante
344,Riccardo Sinigallia
345,Ricchi
346,Ricky Portera
347,Righeira
348,Riki
349,Rino Gaetano
350,Rita Marcotulli
351,Rita Pavone
352,Rkomi
353,Roberto Vecchioni
354,Rocco Hunt
355,Rocco Tanica
356,Romina Power
357,Ron
358,Rosa Chemical
359,Rose Villain
360,Roy Paci
361,S. Cristicchi
362,Sal Da Vinci
363,Salmo
364,Samuel
365,Samuele Bersani
366,Samurai Jay
367,Sangiovanni
368,Santi Francesi
369,Sarah Toscano
370,Saverio Cigarini
371,Saverio Lanza
372,Sayf
373,Serena Brancale
374,Sergio Endrigo
375,Sergio Sylvestre
376,Sethu
377,Shablo con Guè Joshua
378,Shari
379,Simon & Garfunkel
380,Simona Molinari
381,Simone Cristicchi
382,Sissi
383,Skin
384,Solis String Quartet
385,Sophie and the Giants con Peppe Vessicchio
386,Sottotono
387,Soul System
388,Stadio
389,Stef Burns
390,Stjepan Hauser
391,Sud Sound System
392,Sílvia Pérez Cruz
393,Takagi & Ketra
394,Tananai
395,Tenores di Bitti
396,The Beatles
397,The Bluebeaters
398,The Guess Who
399,The Kolors
400,The Ronettes
401,Timofej Andrijashenko
402,Tiromancino
403,Tiziano Ferro
404,Tommaso Paradiso
405,Tony Del Monaco
406,Tony Effe
407,TonyPitony
408,Topo Gigio
409,Toquinho
410,Tormento
411,Tosca
412,Toto Cutugno
413,Tozzi-Morandi-Ruggeri
414,Tredici Pietro
415,Tricarico
416,Tullio De Piscopo
417,Twin Violins
418,Ultimo
419,Umberto Tozzi
420,Valerio Lundini
421,Valerio Scanu
422,Vasco Rossi
423,Vegas Jones
424,Venerus
425,Viito
426,Vinicio Capossela con Mauro Pagani
427,Walter Murphy
428,Will
429,Willie Peyote
430,Yuman
431,Zero Assoluto
432,Zucchero
433,Zucchero Fornaciari
